REGION,C_REGION,DISTRITO,C_DISTRITO,COMUNA,C_COMUNA
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,EL MONTE,2806
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,ISLA DE MAIPO,2807
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,MARIA PINTO,2803
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,MELIPILLA,2800
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,PADRE HURTADO,2808
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,PAINE,2799
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,PEÑAFLOR,2809
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,SAN BERNARDO,2796
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,SAN PEDRO,2804
METROPOLITANA DE SANTIAGO,3013,DISTRITO 14,6014,TALAGANTE,2805
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,CODEGUA,2580
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,COINCO,2581
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,COLTAUCO,2582
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,DOÑIHUE,2583
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,GRANEROS,2584
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,MACHALI,2586
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,MALLOA,2587
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,MOSTAZAL,2588
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,OLIVAR,2589
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,QUINTA DE TILCOCO,2592
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,RANCAGUA,2579
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,RENGO,2593
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 15,6015,REQUINOA,2594
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,CHEPICA,2603
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,CHIMBARONGO,2604
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,LA ESTRELLA,2597
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,LAS CABRAS,2585
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,LITUECHE,2598
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,LOLOL,2605
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,MARCHIGUE,2599
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,NANCAGUA,2606
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,NAVIDAD,2600
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,PALMILLA,2607
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,PAREDONES,2601
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,PERALILLO,2608
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,PEUMO,2590
